SUBJECT.NAME	Biochem.Albumin	Biochem.ALP	Biochem.ALT	Biochem.AST	Biochem.Calcium	Biochem.Chloride	Biochem.Creatinine	Biochem.Glucose	Biochem.HDL	Biochem.LDL	Biochem.Phosphorous	Biochem.Potassium	Biochem.Sodium	Biochem.Tot.Cholesterol	Biochem.Tot.Protein	Biochem.Triglycerides	Biochem.Urea	EndNormalBW	Date.StudyDay	Date.Season	Date.Month	Date.Year	Family	GENDER	Age	CageDensity	Litter
A048005080	29.1	133	32	166	1.97	90	17	12.23	1.84	0.3	1.99	NA	123	3.01	50.5	0.44	5.4	25.3	138	summer	6	2003	H2.3:C5.2(3) H2.3:G2.2(3)	F	66	5	2
A048005112	31.7	147	27	135	2.11	97	18	10.99	1.33	0.49	2.34	NA	133	2.46	39.6	0.39	6.3	16.7	123	spring	5	2003	H2.2:C3.1(4) H2.2:G3.1(3)	F	70	3	4
A048006063	32.6	150	31	263	2.42	113	NA	7.5	NA	NA	2.49	NA	149	NA	51.3	NA	8.2	31.6	102	spring	5	2003	E5.2:H5.1(4) E5.2:D4.1(4)	M	73	5	4
A048006555	27.7	54	NA	NA	1.71	89	18	5.97	1.35	0.32	NA	NA	119	3.57	48.8	0.44	5.9	28.2	116	spring	5	2003	E1.3:H1.2(3) E1.3:D1.2(3)	M	72	4	1
A048007096	32.1	161	51	130	2.49	110	21	10.61	1.93	0.31	2.68	6.8	148	2.61	53.5	0.57	9.7	27.1	NA	NA	NA	NA	D3.2:G2.1(5) D3.2:C5.1(5)	M	66	4	4
A048010273	26.1	145	23	89	2.14	96	19	11.88	1.3	0.34	2.22	NA	131	2.04	42.7	0.72	7.4	20.9	NA	NA	NA	NA	G5.2:B5.1(4) G5.2:F5.1(2)	F	63	6	1
A048010371	28.2	199	22	83	2.16	100	24	10.55	2.01	0.37	2	NA	134	2.86	43.7	0.54	8.3	22.8	NA	NA	NA	NA	H4.2:C5.1(4) H4.2:G1.1(7)	M	72	7	3
A048011040	NA	117	36	NA	1.72	82	NA	9.39	NA	NA	2.06	NA	110	NA	NA	NA	5.8	14.4	109	spring	5	2003	G2.2:B4.1(5) G2.2:F1.1(7)	M	70	3	1
A048011287	28.9	143	50	78	2.29	109	23	9.62	2.41	0.43	2.57	6.2	146	3.22	52	0.56	6.6	27.7	130	spring	5	2003	B4.3:E5.2(3) B4.3:A1.2(3)	M	66	4	1
A048011554	28.5	56	69	289	1.69	84	17	9.82	1.38	0.55	1.94	NA	117	3.47	48.2	0.14	4.7	21.8	117	spring	5	2003	H2.3:C5.2(3) H2.3:G2.2(3)	F	72	5	1
